STORE_NO,ZIP,SQUARE_FEET,U_CITY,U_STATE,CENSUS_REGION,CENSUS_DIVISION,TOT_ATTRITION_2012,TOT_ATTRITION_2013,NUM_ASSISTANT_MANAGERS,NUM_CUST_ACC_REPS,NUM_STORE_MANAGERS,NUM_EMP_PAY_TYPE_H,AVG_PAY_RATE_PAY_TYPE_S,AVG_PAY_RATE_PAY_TYPE_H,NAT_CURR_ROBBERY,NAT_CURR_BURGLARY,NAT_CURR_MOT_VEH_THEFT,NAT_PAST_ROBBERY,NAT_PAST_BURGLARY,NAT_PAST_MOT_VEH_THEFT,FRONTAGE_ROAD,NUM_PARKING_SPACES,SIGNAGE_VISIBILITY_IND,AUTOZONE_IND,TARGET_IND,WALMART_IND,PAYLESS_IND,COMP_PRESENCE_IND,STRIP_SHOP_CENTER_IND,SINGLE_TENANT_IND,PAD_IN_SHOP_CENTER_IND,MARKETING_EXP_2013,MARKETING_EXP_2012,TOT_NUM_LEADS,NUM_CONVERTED_TO_AGREEMENT,PERC_CONVERTED_TO_AGREEMENT,URBANICITY,CYA01V001,CYB02V001,CYA12V001,CYA12V002,CYA12V003,CYA12V007,CYA12V008,CYA21V001,CYB07VBASE,XCX03V069,PERC_CYEA07V001,PERC_CYEA07V004,PERC_CYEA07V007,PERC_CYEA07V010,PERC_CYB11V006,PERC_CYB11V007,PERC_CYC13VV01
6,38128,4000,MEMPHIS,TN,South,East South Central,3,1,6,14,1,6,49000,10.69333333,520,887,424,527,1007,510,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,993.03,1247.48,12537,544,0.080141426,Suburban,216028,81167,70813,65616,53227,11428,21317,89.44,81167,61.11,0.382385617,0.533699335,0.002411724,0.016002555,0.028521443,0.025946505,0.102574666
7,45406,6091,DAYTON,OH,Midwest,East North Central,2,2,2,14,2,4,46000,11.565,378,719,254,427,820,367,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,217.07,623.34,13461,395,0.127625202,Suburban,107973,46137,34806,31286,26613,7373,12753,50.04,46137,83.8,0.325359118,0.63292675,0.002593241,0.004908635,0.020222381,0.014218523,0.181628741
10,45356,4160,PIQUA,OH,Midwest,East North Central,0,3,2,7,3,4,44000,12.1575,35,65,33,59,113,46,Yes,Greater than 10,Yes,0,0,1,0,1,0,0,0,920.36,362.17,11593,504,0.176223776,Emerging suburban,41540,17276,8335,18343,16530,2735,4067,108.59,17276,39.78,0.914275397,0.035820896,0.002070294,0.016345691,0.017770317,0.010882149,0.578430429
11,37087,4000,LEBANON,TN,South,East South Central,2,2,7,5,3,3,50000,11.64,106,287,165,84,264,106,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,3261.67,1181.54,9805,328,0.038121804,Emerging suburban,33991,13018,6734,14495,12593,2303,3420,92.7,13018,39.63,0.828454591,0.106234003,0.002765438,0.010796976,0.02173913,0.012674758,0.758759672
12,43614,6000,TOLEDO,OH,Midwest,East North Central,1,3,3,10,2,4,45000,13.6125,233,658,144,257,468,136,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1771.66,600.73,12368,590,0.059977636,Suburban,124706,52884,42137,40344,35546,5387,13576,44.56,52884,61.4,0.646111655,0.27645823,0.003512261,0.01864385,0.019400953,0.009000832,0.187962087
14,14621,4900,ROCHESTER,NY,Northeast,Middle Atlantic,0,3,2,5,2,4,0,13.96,563,296,430,595,305,317,Yes,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,1864.98,829.82,6716,366,0.104065965,Urban,201714,84979,80081,50105,40263,10453,18390,33.67,84979,103.37,0.475033959,0.378754078,0.004848449,0.027757122,0.02184069,0.016227539,0.096279881
28,14094,4690,LOCKPORT,NY,Northeast,Middle Atlantic,1,7,3,9,4,3,45000,11.27333333,89,147,67,105,110,68,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,2547.96,683.48,13402,383,0.046775769,Emerging suburban,47166,19744,11954,20013,18175,2329,4328,96.07,19744,61.12,0.898783022,0.055463682,0.004558368,0.007166179,0.0148906,0.008508914,0.523873129
30,43701,5280,ZANESVILLE,OH,Midwest,East North Central,0,0,3,8,0,5,48000,12.028,73,218,55,122,273,82,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1421.96,610.27,15080,621,0.051543825,Emerging suburban,40330,16316,8855,16356,15106,2585,4438,83.09,16316,37.14,0.889139598,0.066749318,0.00342177,0.002529135,0.021206178,0.011399853,0.46260848
34,45504,4200,SPRINGFIELD,OH,Midwest,East North Central,3,2,3,11,1,5,48000,11.538,205,378,118,261,438,173,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,1178.77,724.86,13180,638,0.102341996,Emerging suburban,74895,30462,19753,26516,23010,4549,9151,77.76,30462,47.17,0.791788504,0.148461179,0.00309767,0.007677415,0.021535027,0.014411398,0.288390413
38,45805,6000,LIMA,OH,Midwest,East North Central,1,0,3,5,1,4,44000,10.6325,137,204,65,180,246,83,Yes,Greater than 10,Yes,1,0,0,0,0,1,0,0,1436.75,314.82,11311,469,0.113586825,Emerging suburban,61106,23736,15100,23731,21048,3025,7055,59.82,23736,48.24,0.75670147,0.185628253,0.002536576,0.007822472,0.023087294,0.013270981,0.327381927
