STORE_NO,REVENUE_2013,ZIP,SQUARE_FEET,U_CITY,U_STATE,CENSUS_REGION,CENSUS_DIVISION,TOT_ATTRITION_2012,TOT_ATTRITION_2013,NUM_ASSISTANT_MANAGERS,NUM_CUST_ACC_REPS,NUM_STORE_MANAGERS,NUM_EMP_PAY_TYPE_H,AVG_PAY_RATE_PAY_TYPE_S,AVG_PAY_RATE_PAY_TYPE_H,NAT_CURR_ROBBERY,NAT_CURR_BURGLARY,NAT_CURR_MOT_VEH_THEFT,NAT_PAST_ROBBERY,NAT_PAST_BURGLARY,NAT_PAST_MOT_VEH_THEFT,FRONTAGE_ROAD,NUM_PARKING_SPACES,SIGNAGE_VISIBILITY_IND,AUTOZONE_IND,TARGET_IND,WALMART_IND,PAYLESS_IND,COMP_PRESENCE_IND,STRIP_SHOP_CENTER_IND,SINGLE_TENANT_IND,PAD_IN_SHOP_CENTER_IND,MARKETING_EXP_2013,MARKETING_EXP_2012,TOT_NUM_LEADS,NUM_CONVERTED_TO_AGREEMENT,PERC_CONVERTED_TO_AGREEMENT,URBANICITY,CYA01V001,CYB02V001,CYA12V001,CYA12V002,CYA12V003,CYA12V007,CYA12V008,CYA21V001,CYB07VBASE,XCX03V069,PERC_CYEA07V001,PERC_CYEA07V004,PERC_CYEA07V007,PERC_CYEA07V010,PERC_CYB11V006,PERC_CYB11V007,PERC_CYC13VV01
4,1099857,40216,5221,LOUISVILLE,KY,South,East South Central,4,4,10,13,1,6,54000,13.53666667,226,462,234,235,388,220,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,4402.46,1037.28,19346,546,0.073446328,Suburban,170527,68863,49602,53873,48163,11054,21155,61.69,68863,48.14,0.615984566,0.32522709,0.002638878,0.015153026,0.023583056,0.01482654,0.113735655
8,1544073,43223,9000,COLUMBUS,OH,Midwest,East North Central,2,0,3,7,2,6,58000,11.46,657,1109,482,761,1127,647,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,809.45,560.79,13485,668,0.139895288,Urban,279653,115200,109518,75524,64787,12776,29714,78.77,115200,60.65,0.6591812,0.253081497,0.003525798,0.024086994,0.021822917,0.0178125,0.079616525
18,621707,40213,3400,LOUISVILLE,KY,South,East South Central,2,4,5,9,3,3,41000,10.93333333,311,790,352,328,669,421,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,4365.36,1173.68,9359,340,0.050746269,Suburban,180947,77174,60982,52489,46258,11290,22095,57.68,77174,46.17,0.640331147,0.273892355,0.003282729,0.022658569,0.018296317,0.012763366,0.113215472
20,805241,43224,6750,COLUMBUS,OH,Midwest,East North Central,4,1,10,9,2,4,46000,11.9725,398,446,280,419,471,286,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1796.62,1054.05,11601,412,0.102794411,Urban,166060,69176,54744,51497,44085,7563,16386,40.18,69176,69.76,0.506648199,0.408695652,0.002812237,0.02026376,0.022955939,0.016205042,0.129989161
21,1356318,43616,4500,OREGON,OH,Midwest,East North Central,2,1,5,7,1,5,54000,11.482,184,337,123,224,368,141,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,1346.84,842.08,11561,743,0.07908462,Suburban,133077,52561,39174,39916,34389,6623,17748,89.17,52561,58.21,0.643093848,0.265801002,0.004794217,0.004628899,0.02667377,0.017065885,0.134215529
22,682205,14606,4000,ROCHESTER,NY,Northeast,Middle Atlantic,2,1,4,6,1,4,45000,11.89,618,368,508,595,354,348,Yes,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,1,0,0,0,1433.96,290.86,9206,439,0.05562595,Urban,238878,100492,91207,68497,57235,12700,21120,67.17,100492,98.09,0.559448756,0.317655875,0.00409414,0.036215139,0.019484138,0.013692632,0.096316948
26,714838,44128,4400,CLEVELAND,OH,Midwest,East North Central,0,3,4,8,3,4,41500,10.9825,419,332,270,380,299,204,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,1032.01,528.2,9241,369,0.088193117,Urban,179693,76868,61886,52022,44728,11317,20165,41.62,76868,93.55,0.293372586,0.664188366,0.00178638,0.015454136,0.019409898,0.012358849,0.145169817
27,770448,44109,3000,CLEVELAND,OH,Midwest,East North Central,0,5,5,9,2,4,43000,10.835,434,337,282,442,424,416,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,992.07,681.43,11426,443,0.095146048,Urban,272793,115421,99093,71589,60828,13536,31970,59.25,115421,64.28,0.559856741,0.31864454,0.00412034,0.02150715,0.021763804,0.017310541,0.065096978
31,932298,14843,3500,HORNELL,NY,Northeast,Middle Atlantic,2,4,5,10,2,5,48000,12.552,34,43,21,50,62,30,Yes,Greater than 10,Yes,0,0,1,0,0,0,0,0,920.61,511.1,12081,431,0.151440618,Emerging suburban,16383,6781,3538,7406,6721,915,1395,95.54,6781,51.29,0.957516938,0.01367271,0.001831167,0.006103888,0.020056039,0.011650199,1.374961851
35,871023,50316,4070,DES MOINES,IA,Midwest,West North Central,1,1,2,6,1,4,47000,11.2925,478,302,612,419,323,418,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1415.41,1986.19,12112,453,0.254637437,Suburban,164266,64403,40745,64421,57951,7161,16108,119.59,64403,52.57,0.79178284,0.092703298,0.004358784,0.038729865,0.024548546,0.017871838,0.150810271
37,656375,38109,4000,MEMPHIS,TN,South,East South Central,2,0,1,6,2,3,40000,10.36666667,366,773,472,406,802,526,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1001.45,781.02,7874,375,0.096079939,Suburban,92325,32715,29655,27162,22059,6597,8499,98.91,32715,73.8,0.180828595,0.780601137,0.002588681,0.003531005,0.037841969,0.032064802,0.182496615
39,1133388,37042,6240,CLARKSVILLE,TN,South,East South Central,0,4,5,8,1,7,52000,12.05285714,107,286,129,111,282,121,No,Greater than 10,Yes,0,0,0,0,0,0,0,1,2783.59,2446.08,22459,558,0.038345245,Emerging suburban,87627,30795,21252,34531,28493,2091,6510,127.26,30795,55.22,0.614034487,0.252992799,0.007657457,0.024570053,0.029485306,0.014807599,0.208451733
43,825987,46226,4500,INDIANAPOLIS,IN,Midwest,East North Central,2,0,5,4,1,4,51000,11.3425,502,935,389,506,905,460,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1338.68,586.18,15415,590,0.04869192,Suburban,184750,75566,57760,57357,50719,9171,19953,71.39,75566,74.65,0.46640866,0.434673884,0.002890392,0.011566982,0.024773046,0.016356563,0.120682003
44,803877,43055,6000,NEWARK,OH,Midwest,East North Central,0,3,4,5,1,4,48000,11.91,140,187,80,178,234,102,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,4283.71,2012.52,12092,487,0.09539667,Emerging suburban,66882,27473,14286,27822,26016,4320,7207,83.26,27473,37.94,0.934391914,0.029110972,0.003035196,0.005995634,0.020966039,0.010009828,0.348404653
45,610298,18505,4276,SCRANTON,PA,Northeast,Middle Atlantic,2,4,5,7,2,4,45000,10.475,105,97,90,73,106,60,Yes,Greater than 10,No,0,0,1,0,0,0,0,0,1009.9,1695.6,6502,235,0.044048735,Suburban,89562,36447,26788,33762,30991,5866,8189,37.73,36447,62.28,0.85957214,0.046984212,0.002199594,0.026830576,0.019891898,0.011386397,0.2516804
47,657968,48504,4800,FLINT,MI,Midwest,East North Central,3,0,4,7,2,4,41000,12.58,269,489,147,321,559,166,No,Greater than 10,No,0,0,0,0,0,0,1,0,664.05,483.6,10015,498,0.118009479,Suburban,104071,41644,35031,29876,25174,6853,10636,73.3,41644,72.4,0.426257075,0.522652804,0.005390551,0.006485957,0.0261022,0.01959466,0.180299988
48,917366,49508,5220,GRAND RAPIDS,MI,Midwest,East North Central,4,1,4,3,4,4,47000,12.245,262,379,215,192,290,111,Yes,Between 1 and 10,No,0,0,0,0,0,1,0,0,1287.18,548.29,11888,496,0.093093093,Suburban,185023,68477,54766,65617,60023,7483,14804,67.83,68477,64.84,0.639633991,0.197148463,0.005988445,0.035492885,0.030667231,0.022664544,0.131643093
49,1083347,49444,3600,MUSKEGON,MI,Midwest,East North Central,1,0,6,2,0,5,51000,13.124,215,299,140,249,359,185,Yes,Greater than 10,No,0,0,1,1,0,0,0,0,1100.24,1179.18,17403,675,0.1116256,Emerging suburban,85581,32468,23449,28137,24469,4566,11760,69.68,32468,53.91,0.664633505,0.267138734,0.008751943,0.005994321,0.026610817,0.015368979,0.210584125
50,955741,48638,4000,SAGINAW,MI,Midwest,East North Central,0,3,4,6,2,3,47000,12.38666667,76,161,45,122,211,63,Yes,Greater than 10,Yes,0,0,1,1,0,0,0,0,270.62,329.68,10330,401,0.079405941,Emerging suburban,82553,34225,22608,32071,30090,5141,7790,69.77,34225,51.48,0.778227321,0.140443109,0.003803617,0.018376074,0.01852447,0.00899927,0.31020072
54,817328,14215,5000,BUFFALO,NY,Northeast,Middle Atlantic,1,5,4,13,1,4,41000,10.5625,533,609,326,596,744,358,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,1205.56,1543.93,8983,344,0.076342654,Urban,233418,99908,83809,73141,63073,13993,21956,45.43,99908,97.56,0.56630594,0.363618059,0.003684377,0.033112271,0.016244945,0.009398647,0.105690221
56,759930,46203,7500,INDIANAPOLIS,IN,Midwest,East North Central,2,1,4,6,2,5,44000,11.026,402,501,300,428,648,391,No,Greater than 10,No,0,0,0,0,0,0,0,0,529.89,761.98,11621,371,0.035970526,Suburban,151894,61621,52325,44032,37945,7082,18085,48.65,61621,55.98,0.674615192,0.220318117,0.004588726,0.01187012,0.026354652,0.020058097,0.120426087
63,791013,49017,5200,BATTLE CREEK,MI,Midwest,East North Central,4,3,4,12,2,3,44000,10.72333333,180,172,101,191,188,111,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,884.13,596.22,10870,555,0.073921151,Emerging suburban,49228,19441,12265,17159,15260,2580,6825,61.27,19441,51.23,0.71453238,0.198586171,0.007495734,0.007658243,0.025153027,0.015276992,0.379499472
64,844725,47130,8200,JEFFERSONVILLE,IN,Midwest,East North Central,2,1,8,7,2,5,45000,11.876,367,174,307,400,251,296,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,1154.56,1092.76,15701,407,0.09183213,Suburban,150778,66865,51720,45838,39846,7304,19580,58.69,66865,46.96,0.713539111,0.223825757,0.003223282,0.013947658,0.014252599,0.009242504,0.153066097
65,955813,49001,6048,KALAMAZOO,MI,Midwest,East North Central,2,2,3,7,2,4,45000,11.9025,558,721,498,461,891,368,No,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,800.37,880.6,15372,583,0.092804839,Suburban,106651,42968,42639,29443,26646,4645,10187,54.46,42968,52.78,0.714461187,0.192412636,0.00530703,0.016783715,0.020619996,0.013684603,0.190584242
67,598388,48212,7000,HAMTRAMCK,MI,Midwest,East North Central,2,3,4,5,1,4,42000,12.495,475,304,170,482,338,179,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,223.08,281.89,7482,344,0.085211791,Urban,224291,90689,94425,47029,32976,14722,24419,51.05,90689,89.21,0.195299856,0.716488847,0.003963601,0.047737092,0.029242797,0.031613536,0.066850654
